pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Cysteine and methionine metabolism	0.0136770132251417	0.191478185151983	0.380730400722792	0.580917964451743	1.64413728236549	36	CTH, PSAT1, BCAT1, SDSL, PHGDH, CBS, GOT1, GCLC
D-Amino acid metabolism	0.691144708423326	0.859539252963543	0.0665892104103933	0.482397143936099	0.791038503065452	3	SRR, GLS
Drug metabolism - cytochrome P450	0.0240824589620264	0.227767848877596	0.352487857583619	-0.633091076440863	-1.60679239549331	20	GSTA4, AOX1, GSTT2, MGST3, GSTT1, MGST2, GSTT2B
Drug metabolism - other enzymes	0.215722120658135	0.608955223880597	0.125033367555272	-0.40288637291985	-1.19153719185826	43	GSTA4, RRM2, GSTT2, NAT1, RRM1, TK1, MGST3, GSTT1, DPYD, MGST2, GSTT2B
Ether lipid metabolism	0.195255474452555	0.596715328467153	0.132147260608774	-0.491558529049255	-1.25729958715703	21	PLA2G3, PLD1
Fatty acid biosynthesis	0.927911275415896	0.962278359690559	0.0454967810085007	-0.273337466738351	-0.625859101367281	13	ACSL5, ACSL3, FASN, ACSL4, ACACB, ACACA, CBR4, OXSM
Fatty acid degradation	0.43646408839779	0.745895400674133	0.0819778796501272	-0.365426439521152	-1.026691114879	32	EHHADH, ACSL5, ACADS, ACAT2, HADH, ACSL3, ACADM, ACSL4, ALDH7A1, ACOX3
Fatty acid elongation	0.193726937269373	0.596715328467153	0.133554954557592	-0.479619189795016	-1.24845598475449	22	ELOVL3, ELOVL7, ELOVL4, HADH, THEM5, TECR, ELOVL6
Folate biosynthesis	0.621621621621622	0.856003544528135	0.0629394692018967	-0.355701842556843	-0.884955810384967	18	AKR1B10, GGH, DHFR, ALPI, GPHN
Fructose and mannose metabolism	0.899628252788104	0.956566749800009	0.0471642455670861	-0.263693052264627	-0.68926135181041	23	AKR1B10, ALDOC, PFKFB4
Galactose metabolism	0.912408759124088	0.958029197080292	0.0456790414930062	-0.256819158882669	-0.656887437314388	21	AKR1B10
Glutathione metabolism	0.444444444444444	0.745895400674133	0.0913924325943768	0.338060336704991	1.00112174882638	44	CHAC1, OPLAH, ANPEP, IDH1, GCLC, ODC1, GPX1, GSTO2
Glycerolipid metabolism	0.342198581560284	0.703881700554529	0.0934449219410994	-0.371079885132994	-1.09405965263188	38	GPAT2, AKR1B10, LPIN1, DGKH, MBOAT2, GLA, AGPAT4, AGPAT2, MBOAT1
Glycerophospholipid metabolism	0.000857388665294975	0.0360103239423889	0.477270815362862	-0.540661411103332	-1.71422171319216	62	PLA2G3, GPD1, GPAT2, PLD1, ETNK2, ETNPPL, LPIN1, LPCAT3, DGKH, MBOAT2, PLA2G4A, PLA2G15, AGPAT4, PCYT2, AGPAT2, MBOAT1, LPCAT2
Glycine, serine and threonine metabolism	0.0298267421149232	0.227767848877596	0.352487857583619	0.629985339141597	1.66468722812195	24	CTH, PSAT1, PSPH, SDSL, AMT, SHMT2, PHGDH, CBS, GCAT, CHDH, MAOB, SRR
Glycolysis / Gluconeogenesis	0.309677419354839	0.703881700554529	0.11146266692298	0.369365179001165	1.098144078658	42	PCK2, FBP1, HK2, ALDH2
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.996402877697842	0.996402877697842	0.0409883873374721	-0.198003521793351	-0.502535203760953	20	DSEL, CHST12, CHST13
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.846580406654344	0.935694133670591	0.0496901392724606	-0.303423756993978	-0.71199400943686	15	GLCE, HS6ST1, HS6ST3, HS2ST1, B3GAT3, EXT2, EXT1, EXTL3, HS3ST3B1, XYLT2
Glycosaminoglycan biosynthesis - keratan sulfate	0.387791741472172	0.705090223538917	0.0870515867946735	-0.509865174890121	-1.0696677331284	9	FUT8, ST3GAL2, B3GNT2, B4GALT4
Glycosaminoglycan degradation	0.333941605839416	0.703881700554529	0.0965629554309422	-0.452405243281555	-1.10257979783671	17	HYAL1, HYAL2, HPSE2, ARSB, HEXB, HPSE, NAGLU
Glycosphingolipid biosynthesis - ganglio series	0.0774774774774775	0.325405405405405	0.216542836735348	-0.643693350189523	-1.4056395735324	11	B3GALT4, ST3GAL2, B4GALNT1, HEXB
Glycosphingolipid biosynthesis - globo and isoglobo series	0.0719101123595506	0.317918391484329	0.252961123069611	0.735470182964096	1.51585901825963	9	FUT1, HEXA, B3GALNT1, ST3GAL1
Glycosphingolipid biosynthesis - lacto and neolacto series	0.0414187453348998	0.267702679120995	0.321775918075361	0.696162424692239	1.59314439115676	13	FUT1, B3GNT5
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.980561555075594	0.996402877697842	0.0500922874402106	0.218568329325319	0.577261205929062	25	PIGZ, GPLD1, PIGH, PIGX, PIGL, DPM2, GPAA1
Glyoxylate and dicarboxylate metabolism	0.763940520446097	0.879054845444823	0.0546808488785442	-0.305289078640029	-0.797988271701644	23	GLUL, MCEE, ACAT2, SHMT1, GCSH, HYI, PGP, GLYCTK, MDH1
Histidine metabolism	0.452865064695009	0.745895400674133	0.0802023444698144	-0.44452978916088	-1.01783709966673	13	AOC1, CARNS1
Inositol phosphate metabolism	0.116883116883117	0.467532467532468	0.191892240384838	0.407023615733928	1.29029157690232	62	PIP5KL1, PIP5K1B, ITPKC, PLCB4, ISYNA1, INPP5E, INPP5B, ITPK1, PIK3C2B, INPP1, PLCD3, MTMR3, INPP4B
Linoleic acid metabolism	0.0162143692344956	0.194572430813948	0.352487857583619	-0.846080072538787	-1.58836795383359	6	PLA2G3
Lipoic acid metabolism	0.55939524838013	0.839092872570194	0.077274697304471	0.58028177417225	0.951550463694674	3	LIAS, LIPT1
Lysine degradation	0.668508287292818	0.859539252963543	0.0605092988656667	-0.286482141761954	-0.882453448485747	52	EHHADH, HYKK, PRDM6, ACAT2, PLOD2, HADH, SETMAR, TMLHE, MECOM, SUV39H1, PRDM2, SUV39H2, ALDH7A1, KMT2C
Mannose type O-glycan biosynthesis	0.377079482439926	0.703881700554529	0.0902635484340068	-0.453035519957926	-1.06306302271037	15	MGAT5B
Metabolism of xenobiotics by cytochrome P450	0.289377289377289	0.703881700554529	0.105520936843198	-0.422189676283836	-1.1340426226548	26	GSTA4, GSTT2, CBR3, MGST3, GSTT1, MGST2, GSTT2B
Mucin type O-glycan biosynthesis	0.198905109489051	0.596715328467153	0.130777137971974	-0.514707756956167	-1.25442041850194	17	C1GALT1C1, GALNT16, ST6GALNAC2, ST3GAL2, GALNT7, GALNT11, GCNT1, GALNT3, GALNT1, C1GALT1
N-Glycan biosynthesis	0.134078212290503	0.472273567467652	0.16440575583821	-0.441655574313491	-1.30014719658387	42	ALG10, MGAT5B, ALG10B, FUT8, ALG6, DPM3, ALG8, ALG14, ALG11, MGAT5, STT3B, RPN1, MAN1A2, DOLPP1, ALG9, DOLK, MAN1A1, TUSC3
Neomycin, kanamycin and gentamicin biosynthesis	0.0711297071129707	0.317918391484329	0.245041785430996	0.929857002705853	1.4093559563101	2	HK2, HK1
Nicotinate and nicotinamide metabolism	0.394514767932489	0.705090223538917	0.0952879846194844	0.39654377541526	1.04783606428764	24	NMNAT2, NT5E, NT5M, SIRT5, NMNAT1, NAMPT, SIRT6, NADK2, SIRT3
Nitrogen metabolism	0.659420289855073	0.859539252963543	0.0603786357920401	-0.406936437725389	-0.863350672533809	10	CA2, GLUL, CA5A, CA12, CPS1
One carbon pool by folate	0.0633553697854034	0.317918391484329	0.287805130535564	0.628285527196616	1.5052247477758	16	ALDH1L2, MTHFD2, AMT, SHMT2, MTHFD1L
Other glycan degradation	0.987132352941177	0.996402877697842	0.0424170054438747	-0.218189463586196	-0.522466358962172	16	FUCA1, NEU1, HEXB
Other types of O-glycan biosynthesis	0.37568058076225	0.703881700554529	0.0894366833718621	-0.382205231705865	-1.06373199416328	30	GXYLT2, LFNG, C1GALT1C1, GALNT16, GALNT7, GALNT11, EOGT, GXYLT1, GALNT3
Oxidative phosphorylation	0.352697095435685	0.703881700554529	0.100990587455923	0.311395836061278	1.04838841338825	87	NDUFA4L2, NDUFA13, ATP6V1E2
Pantothenate and CoA biosynthesis	0.737527114967462	0.860448300795372	0.0636424081651019	0.325653686304997	0.772970220917732	15	BCAT1, ALDH2, PPCS, PPCDC, COASY, AASDHPPT, ALDH3A2
Pentose and glucuronate interconversions	0.44362292051756	0.745895400674133	0.0813027345384498	-0.446743884607939	-1.02290670027207	13	AKR1B10
Pentose phosphate pathway	0.354211663066955	0.703881700554529	0.103197466945307	0.417724249392973	1.10325226300967	25	RBKS, FBP1, IDNK, RPIA, H6PD, PGLS
Phenylalanine metabolism	0.802559414990859	0.911013389989624	0.05163559644842	-0.377545429941655	-0.735532234146954	7	HPD
Phenylalanine, tyrosine and tryptophan biosynthesis	0.0711297071129707	0.317918391484329	0.245041785430996	0.930078034039134	1.40969096677427	2	GOT1, GOT2
Phosphonate and phosphinate metabolism	0.256830601092896	0.653750620963736	0.112843355675562	-0.704948163869536	-1.2010463061214	4	PCYT2
Porphyrin metabolism	0.503432494279176	0.793388429752066	0.0860347242455604	0.39402366616327	0.971742188782786	19	HMOX1, UROS, HMBS, COX10, FECH, FXN, HCCS, BLVRB, EARS2, COX15
Primary bile acid biosynthesis	0.643510054844607	0.859060402684564	0.0619762736001998	-0.450548406423407	-0.877756290201079	7	CYP39A1, SCP2, HSD17B4, HSD3B7
Propanoate metabolism	0.253787878787879	0.653750620963736	0.116234148779716	-0.446796329153554	-1.17318230670471	24	EHHADH, ACADS, MCEE, BCKDHB, SUCLA2, ACACB, ACOX3, LDHA, ALDH6A1, ACACA
Purine metabolism	0.695817490494297	0.859539252963543	0.0601186142531851	-0.258331507611861	-0.87559885038581	88	AK7, ENTPD2, ENPP1, DCK, RRM2, PDE7A, PDE4B, PDE3B, NPR1, PDE1A, RRM1, PDE5A
Pyrimidine metabolism	0.882096069868996	0.949949613705072	0.0554793308704233	0.247518267416051	0.739493936798462	46	NT5E, NT5M, NME1-NME2, HDDC2, UPP1, TYMP, NME6, DCTD, ENTPD5
Pyruvate metabolism	0.678038379530917	0.859539252963543	0.0668966276500666	0.299823692796645	0.845832948239298	33	PCK2, ALDH2, ACYP2, ME3, ME1, ME2
Retinol metabolism	0.503649635036496	0.793388429752066	0.0739901439101341	-0.399553865540173	-0.973773020614597	17	ALDH1A3, AOX1, CYP27C1
Riboflavin metabolism	0.329690346083789	0.703881700554529	0.0972150808846466	-0.60419004009723	-1.1342615537986	6	ENPP1
Selenocompound metabolism	0.0607375271149675	0.317918391484329	0.271288554688953	0.658676882135357	1.50735998258233	13	CTH, SCLY, SEPHS2, SEPSECS, PSTK, MARS2
Sphingolipid metabolism	0.360594795539033	0.703881700554529	0.0931454575337804	-0.36555169537248	-1.07046194785845	41	B4GALT6, SGMS2, ACER2, UGT8, GLA, B4GALNT1, SGMS1, NEU1, DEGS1, ACER3, HEXB, SMPD1, SPTLC2
Starch and sucrose metabolism	0.720823798627002	0.860448300795372	0.0673623868166279	0.327723506869189	0.80823256374828	19	AMY2B, HK2, PYGB
Steroid biosynthesis	5.71948408191672e-05	0.00480436662881005	0.557332238758646	-0.800320812519032	-1.9911298409919	18	HSD17B7, TM7SF2, CYP24A1, MSMO1, FDFT1, LSS, SQLE, DHCR7, SC5D, DHCR24, EBP, NSDHL, LBR
Steroid hormone biosynthesis	0.128146453089245	0.472273567467652	0.188204146308491	0.54591749803803	1.34634315142502	19	CYP11A1, HSD17B6, CYP1A1, HSD11B1L, HSD17B8, COMT
Sulfur metabolism	0.25	0.653750620963736	0.11378726182188	-0.589329482003108	-1.20018676956747	8	SELENBP1, BPNT1, PAPSS2, PAPSS1, SUOX
Taurine and hypotaurine metabolism	0.736017897091723	0.860448300795372	0.0652353056017703	0.408935141820615	0.754234997808951	5	ADO, GAD1, GGT7
Terpenoid backbone biosynthesis	0.0446171131868325	0.267702679120995	0.321775918075361	-0.597077613769713	-1.51538981518733	20	MVK, IDI1, MVD, FDPS, ACAT2, HMGCR, HMGCS1, PCYOX1, NUS1
Thiamine metabolism	0.344144144144144	0.703881700554529	0.0940503465727813	-0.508240691292383	-1.10985025455008	11	AK7
Tryptophan metabolism	0.359925788497217	0.703881700554529	0.0931454575337804	-0.393124985452432	-1.0491649141553	25	AOC1, AOX1, EHHADH, ACAT2, HADH
Tyrosine metabolism	0.519480519480519	0.793388429752066	0.0732558655828455	-0.411843364295169	-0.957730838982233	14	AOX1, HPD
Ubiquinone and other terpenoid-quinone biosynthesis	0.846014492753623	0.935694133670591	0.0487989701682839	-0.333052258055901	-0.706599027083206	10	HPD
Valine, leucine and isoleucine biosynthesis	0.00988735003830448	0.191478185151983	0.380730400722792	0.937530751499516	1.53737005197163	3	BCAT1, SDSL, BCAT2
Valine, leucine and isoleucine degradation	0.616788321167883	0.856003544528135	0.0639271933359996	-0.306878230343229	-0.900560194522654	40	AOX1, EHHADH, ACADS, MCEE, ACAT2, HADH, HMGCS1, BCKDHB, ACADM
Various types of N-glycan biosynthesis	0.877323420074349	0.949949613705072	0.0483117581055019	-0.2582644964343	-0.720070438834939	31	FUT8, B4GALNT4, HEXB, ALG14, ALG11, STT3B, RPN1, MAN1A2, ALG9, MAN1A1, TUSC3
Vitamin B6 metabolism	0.644295302013423	0.859060402684564	0.0718276293603809	0.438677775988266	0.809091950225409	5	PSAT1, PNPO
alpha-Linolenic acid metabolism	0.00140343786555986	0.039296260235676	0.45505986738723	-0.822612619868485	-1.74524346496963	10	PLA2G3, FADS2
beta-Alanine metabolism	0.619565217391304	0.856003544528135	0.0723570851036907	0.34062760715873	0.87952264783418	22	SMOX, ALDH2, CNDP2, MLYCD
